group1,group2,meandiff,p-adj,lower,upper,reject,Segment
Africa,East Asia,0.0174,0.9999,-0.1169,0.1516,False,0
Africa,Europe,0.0209,0.999,-0.0876,0.1295,False,0
Africa,North America,0.0199,1.0,-0.1557,0.1955,False,0
Africa,Oceania,-0.0383,0.9997,-0.2809,0.2043,False,0
Africa,South America,0.0159,1.0,-0.1147,0.1466,False,0
Africa,SouthCentral Asia,0.0153,1.0,-0.129,0.1595,False,0
Africa,West Asia,0.013,1.0,-0.1383,0.1642,False,0
East Asia,Europe,0.0036,1.0,-0.1252,0.1323,False,0
East Asia,North America,0.0025,1.0,-0.1862,0.1913,False,0
East Asia,Oceania,-0.0557,0.9977,-0.308,0.1966,False,0
East Asia,South America,-0.0014,1.0,-0.1492,0.1464,False,0
East Asia,SouthCentral Asia,-0.0021,1.0,-0.1621,0.1579,False,0
East Asia,West Asia,-0.0044,1.0,-0.1708,0.162,False,0
Europe,North America,-0.001,1.0,-0.1724,0.1704,False,0
Europe,Oceania,-0.0593,0.9953,-0.2989,0.1803,False,0
Europe,South America,-0.005,1.0,-0.13,0.12,False,0
Europe,SouthCentral Asia,-0.0057,1.0,-0.1448,0.1334,False,0
Europe,West Asia,-0.008,1.0,-0.1544,0.1384,False,0
North America,Oceania,-0.0582,0.9983,-0.3347,0.2183,False,0
North America,South America,-0.0039,1.0,-0.1901,0.1822,False,0
North America,SouthCentral Asia,-0.0046,1.0,-0.2006,0.1913,False,0
North America,West Asia,-0.0069,1.0,-0.2081,0.1943,False,0
Oceania,South America,0.0543,0.9979,-0.1961,0.3046,False,0
Oceania,SouthCentral Asia,0.0536,0.9984,-0.2041,0.3113,False,0
Oceania,West Asia,0.0513,0.9989,-0.2104,0.313,False,0
South America,SouthCentral Asia,-0.0007,1.0,-0.1576,0.1562,False,0
South America,West Asia,-0.003,1.0,-0.1664,0.1605,False,0
SouthCentral Asia,West Asia,-0.0023,1.0,-0.1768,0.1722,False,0
Africa,East Asia,0.0697,0.7836,-0.0676,0.2071,False,1
Africa,Europe,0.0516,0.8482,-0.0589,0.1622,False,1
Africa,North America,0.0294,0.9997,-0.1506,0.2094,False,1
Africa,Oceania,0.0314,0.9999,-0.2178,0.2806,False,1
Africa,South America,0.0388,0.9876,-0.0948,0.1724,False,1
Africa,SouthCentral Asia,0.0661,0.8749,-0.0816,0.2137,False,1
Africa,West Asia,0.035,0.9973,-0.12,0.1899,False,1
East Asia,Europe,-0.0181,0.9999,-0.1505,0.1143,False,1
East Asia,North America,-0.0403,0.9984,-0.2345,0.1539,False,1
East Asia,Oceania,-0.0383,0.9998,-0.298,0.2213,False,1
